ID,Phase,Day,Task,Daily brief file,Phase overview file,Prompt for Codex,Status,Owner,Started (UTC),Completed (UTC),Evidence / PR link,Blockers / notes,Expected outcome
P01-D01,01,01,Inventory the baseline surface,deep-research-phase-plan/phase-01-foundation-baseline/day-01.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-01.md` exactly as written. Your goal is: Inventory the baseline surface. Produce this outcome: A reproducible inventory of intended HTML pages, sitemap entries, and priority URLs, without claiming index status. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A reproducible inventory of intended HTML pages, sitemap entries, and priority URLs, without claiming index status"
P01-D02,01,02,Verify robots and sitemap locally,deep-research-phase-plan/phase-01-foundation-baseline/day-02.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-02.md` exactly as written. Your goal is: Verify robots and sitemap locally. Produce this outcome: A parsed sitemap/robots report that identifies only repository-observable issues. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A parsed sitemap/robots report that identifies only repository-observable issues
P01-D03,01,03,Audit canonical and index directives,deep-research-phase-plan/phase-01-foundation-baseline/day-03.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-03.md` exactly as written. Your goal is: Audit canonical and index directives. Produce this outcome: A representative canonical/noindex matrix for the homepage and named priority pages. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A representative canonical/noindex matrix for the homepage and named priority pages
P01-D04,01,04,Test hostname redirect design,deep-research-phase-plan/phase-01-foundation-baseline/day-04.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-04.md` exactly as written. Your goal is: Test hostname redirect design. Produce this outcome: A one-hop redirect test procedure and observed local/config results; production behavior remains unknown if network access is absent. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A one-hop redirect test procedure and observed local/config results; production behavior remains unknown if network access is absent
P01-D05,01,05,Prepare Search Console verification,deep-research-phase-plan/phase-01-foundation-baseline/day-05.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-05.md` exactly as written. Your goal is: Prepare Search Console verification. Produce this outcome: A GSC access/runbook and evidence-log rows for property ownership, sitemap submission, and coverage reports. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A GSC access/runbook and evidence-log rows for property ownership, sitemap submission, and coverage reports"
P01-D06,01,06,Inspect representative URLs in GSC,deep-research-phase-plan/phase-01-foundation-baseline/day-06.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-06.md` exactly as written. Your goal is: Inspect representative URLs in GSC. Produce this outcome: A ten-URL inspection register with explicit pending/observed status and exported evidence references. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A ten-URL inspection register with explicit pending/observed status and exported evidence references
P01-D07,01,07,Establish query and page baseline,deep-research-phase-plan/phase-01-foundation-baseline/day-07.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-07.md` exactly as written. Your goal is: Establish query and page baseline. Produce this outcome: A dated baseline schema and, when available, unmodified GSC exports for clicks, impressions, CTR, and position. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A dated baseline schema and, when available, unmodified GSC exports for clicks, impressions, CTR, and position"
P01-D08,01,08,Run the broken-link crawl,deep-research-phase-plan/phase-01-foundation-baseline/day-08.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-08.md` exactly as written. Your goal is: Run the broken-link crawl. Produce this outcome: A machine-readable internal-link result with false positives and crawl boundaries documented. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A machine-readable internal-link result with false positives and crawl boundaries documented
P01-D09,01,09,Design the PDF redaction fixture,deep-research-phase-plan/phase-01-foundation-baseline/day-09.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-09.md` exactly as written. Your goal is: Design the PDF redaction fixture. Produce this outcome: A safe synthetic PDF fixture and threat-model checklist containing a unique non-sensitive marker. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,A safe synthetic PDF fixture and threat-model checklist containing a unique non-sensitive marker
P01-D10,01,10,Execute PDF redaction security tests,deep-research-phase-plan/phase-01-foundation-baseline/day-10.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-10.md` exactly as written. Your goal is: Execute PDF redaction security tests. Produce this outcome: A pass/fail/unknown report for every redaction attack, with output artifacts excluded if they contain test content. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A pass/fail/unknown report for every redaction attack, with output artifacts excluded if they contain test content"
P01-D11,01,11,Decide the redaction release response,deep-research-phase-plan/phase-01-foundation-baseline/day-11.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-11.md` exactly as written. Your goal is: Decide the redaction release response. Produce this outcome: An evidence-backed decision: verified secure, P0 remediation, or rename/warning proposal; no unsupported safety claim. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"An evidence-backed decision: verified secure, P0 remediation, or rename/warning proposal; no unsupported safety claim"
P01-D12,01,12,Consolidate technical blockers,deep-research-phase-plan/phase-01-foundation-baseline/day-12.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-12.md` exactly as written. Your goal is: Consolidate technical blockers. Produce this outcome: A deduplicated P0/P1/P2 register with owner, evidence, dependency, and next action. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A deduplicated P0/P1/P2 register with owner, evidence, dependency, and next action"
P01-D13,01,13,Recheck representative regressions,deep-research-phase-plan/phase-01-foundation-baseline/day-13.md,deep-research-phase-plan/phase-01-foundation-baseline.md,"Execute `deep-research-phase-plan/phase-01-foundation-baseline/day-13.md` exactly as written. Your goal is: Recheck representative regressions. Produce this outcome: A repeatable smoke-check result for status, canonical, robots, sitemap, links, and core tool loading. Read `deep-research-phase-plan/phase-01-foundation-baseline.md` as the source of truth; review the brief’s prerequisites and the prior day’s handoff when one exists. Complete the ordered tasks, make only changes authorized by the brief, run every verification check, and record deliverables and evidence. If external console access or authoritative evidence is unavailable, complete the repository-local fallback and mark the result pending or unknown—never infer or invent results. Finish by updating the evidence log and handoff, then report changed files, checks run, blockers, and the next-day readiness status.",Not started,,,,,,"A repeatable smoke-check result for status, canonical, robots, sitemap, links, and core tool loading"
